"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","offerings","pn","section","semester","status","term","type","year"
"0000023060","1.0","0000000465","ENVST","1","1","0","0","0","","Deason, Gary","{'fsnum': '1355', 'name': 'Deason, Gary'}","200","IS/Nat Resource Prot","298","","False","","4","O","19974","Research","1997"
"0000023070","1.0","0000000649","FAMST","4","1","2","1","0","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","Family Relationships","242","{'day': 'Mo', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 4', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023071","1.0","0000000651","FAMST","5","2","2","1","0","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","Human Sexuality","253","{'day': 'Mo', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'M 26', 'start': '12:30'}","False","","4","O","19974","Research","1997"
"0000023061","1.0","0000000479","FREN","3","1","0","2","0","","Allen, Richard","{'fsnum': '97', 'name': 'Allen, Richard'}","200","Intermed French I","231","{'day': 'Mo', 'end': '11:30', 'location': 'M 26', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 26', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 26', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 26', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 26', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023062","1.0","0000000480","FREN","1","0","0","1","0","FOL-F;MCS-G","Allen, Richard","{'fsnum': '97', 'name': 'Allen, Richard'}","200","Intermed French II","232","{'day': 'Mo', 'end': '14:00', 'location': 'M 20', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'M 20', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'M 20', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'M 20', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'M 20', 'start': '12:30'}","False","","4","O","19974","Research","1997"
"0000023063","1.0","0000000504","GERM","1","1","0","0","0","","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","100","Beginning German I","111","","False","","4","O","19974","Research","1997"
"0000023064","1.0","0000000505","GERM","1","1","0","0","0","","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","100","Beginning German II","112","","False","","4","O","19974","Research","1997"
"0000023065","1.0","0000000508","GERM","2","1","1","0","0","","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","200","Intermed German I","231","","False","","4","O","19974","Research","1997"
"0000023066","1.0","0000000509","GERM","1","0","0","1","0","FOL-G","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","200","Intermed German II","232","","False","","4","O","19974","Research","1997"
"0000023067","1.0","0000000530","GERM","1","0","0","0","1","","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","300","IR/Gm Novella 1800-40","398","","False","","4","O","19974","Research","1997"
"0000023068","1.0","0000000530","GERM","1","0","0","0","1","","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","300","IR/Gm Novella 1860-90","398","","False","A","4","O","19974","Research","1997"
"0000023069","1.0","0000001820","HIST","12","0","6","2","4","HWC;MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","200","U.S. Since 1865","206","{'day': 'Mo', 'end': '11:30', 'location': 'H 501', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 501', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 501', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 501', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 501', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023072","1.0","0000000731","MATH","3","1","0","0","2","MAR","Allen, Richard","{'fsnum': '97', 'name': 'Allen, Richard'}","100","Calculus I","120","","False","","4","O","19974","Research","1997"
"0000023073","1.0","0000000733","MATH","1","0","0","0","1","MAR","Allen, Richard","{'fsnum': '97', 'name': 'Allen, Richard'}","100","Calculus II","126","","False","","4","O","19974","Research","1997"
"0000023074","1.0","0000000738","MATH","1","0","0","0","1","","Allen, Richard","{'fsnum': '97', 'name': 'Allen, Richard'}","200","Multivariable Calc","226","","False","","4","O","19974","Research","1997"
"0000023075","1.0","0000000745","MATH","1","0","0","0","1","","Allen, Richard","{'fsnum': '97', 'name': 'Allen, Richard'}","200","Elem Real Analysis","244","","False","","4","O","19974","Research","1997"
"0000023076","1.0","0000000822","MUSIC","3","0","2","0","1","ALS-A","Mahr, Timothy","{'fsnum': '5013', 'name': 'Mahr, Timothy'}","200","Composition I","223","{'day': 'Mo', 'end': '14:00', 'location': 'CHM 232', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CHM 232', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CHM 232', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CHM 232', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CHM 232', 'start': '12:30'}","False","","4","O","19974","Research","1997"
"0000023077","1.0","0000000851","MUSIC","1","0","1","0","0","","Mahr, Timothy","{'fsnum': '5013', 'name': 'Mahr, Timothy'}","300","Composition II","324","{'day': 'Mo', 'end': '11:30', 'location': 'CHM 232', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CHM 232', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CHM 232', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CHM 232', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CHM 232', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023078","1.0","0000000937","NORW","1","0","0","0","1","","Zempel, Solveig","{'fsnum': '9184', 'name': 'Zempel, Solveig'}","300","IR/Ibsen-Ethical ISS","398","","False","","4","O","19974","Research","1997"
"0000023082","0.25","0000000995","PEAC","2","1","0","0","1","PHA","Staff","{'fsnum': '', 'name': 'Staff'}","100","Individualized Phy Ed","100","","True","","4","O","19974","Research","1997"
