"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","offerings","pn","semester","status","term","type","year"
"0000003628","1.0","0000000735","MATH","8","0","4","1","3","MAR","Bolstad, Peder","{'fsnum': '661', 'name': 'Bolstad, Peder'}","200","Principles of Math","210","{'day': 'Mo', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'M 1', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003630","1.0","0000000792","MEDIA","9","0","5","1","3","ORC","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","100","Mass Media","160","{'day': 'Mo', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003629","1.0","0000000778","MGMT","5","1","0","4","0","HBS","Lindley, Lisa","{'fsnum': '14115', 'name': 'Lindley, Lisa'}","200","Management","251","{'day': 'Mo', 'end': '09:30', 'location': 'H 516', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'H 516', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'H 516', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'H 516', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'H 516', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003631","1.0","0000000821","MUSIC","1","0","0","1","0","","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","200","Counterpoint","222","","False","4","O","20014","Research","2001"
"0000003632","1.0","0000000822","MUSIC","1","0","1","0","0","ALS-A","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","200","Composition I","223","","False","4","O","20014","Research","2001"
"0000003633","1.0","0000001974","MUSIC","2","0","0","0","2","ALS-A;ORC","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","200","The Art of Music","230","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003634","1.0","0000000921","NORW","4","1","0","2","1","","Dorer, Kari L.","{'fsnum': '14082', 'name': 'Dorer, Kari L.'}","100","Beginning Norwegian I","111","{'day': 'Mo', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 421', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003635","1.0","0000000926","NORW","4","2","2","0","0","FOL-N","Dorer, Kari L.","{'fsnum': '14082', 'name': 'Dorer, Kari L.'}","200","Intermed Norwegian I","231","{'day': 'Mo', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'L 421', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003637","0.5","0000001012","PEAC","10","0","6","1","3","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","Individual Fitness.50","133","{'day': 'Mo', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'Tu', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'We', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'Th', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'Fr', 'end': '08:00', 'location': 'MFH', 'start': '07:00'}","False","4","O","20014","Research","2001"
"0000003638","0.5","0000001016","PEAC","9","0","4","3","2","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","Wt Training Co-Ed .50","140","{'day': 'Mo', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'Tu', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'We', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'Th', 'end': '08:00', 'location': 'MFH', 'start': '07:00'};{'day': 'Fr', 'end': '08:00', 'location': 'MFH', 'start': '07:00'}","False","4","O","20014","Research","2001"
