"clbid","credits","crsid","department","enrolled","firstyear","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000022198","1.0","0000001514","ART","4","","","","Mary Griep","","S","300","5","Figure Drawing II","342","{'day': 'Mo', 'end': '10:00', 'location': 'FH 40', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'FH 40', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 40', 'start': '08:00'}","False","False","","3","","","O","19973","Research","1997"
"0000022199","1.0","0000000071","ART","24","","","","Staff","","S","300","35","Senior Studies-Studio","393","{'day': 'Th', 'end': '22:00', 'location': 'FH 01', 'start': '19:00'}","False","False","","3","24/35","","O","19973","Research","1997"
"0000022200","1.0","0000000074","ART","9","","","","Perette Michelli","","S","300","20","Sr Studies-Art Hist","395","{'day': 'Tu', 'end': '14:45', 'location': 'FH SEM', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'FH SEM', 'start': '13:20'}","False","False","","3","9/20","","O","19973","Research","1997"
"0000022201","1.0","0000000075","ART","1","","","","John Saurer","","S","300","999","IR/Art & Environment","398","","False","False","","3","","","O","19973","Research","1997"
"0000022202","1.0","0000000075","ART","1","","","","Margaret Ojala","","S","300","999","IR/Advanced Photo","398","","False","False","A","3","","","O","19973","Research","1997"
"0000022203","1.0","0000000078","ASIAN","23","","","","Phyllis Hyland Larson","","S","100","30","Asian Cultures","121","{'day': 'Tu', 'end': '13:10', 'location': 'MFH 230', 'start': '11:45'};{'day': 'Th', 'end': '13:10', 'location': 'MFH 230', 'start': '11:45'}","False","False","","3","","","O","19973","Research","1997"
"0000022204","1.0","0000000094","ASIAN","1","","","","Richard Bodman","","S","200","999","IS/Advanced Topics","298","","False","False","","3","","","O","19973","Research","1997"
"0000022205","1.0","0000000094","ASIAN","1","","","","Gia Someya","","S","200","999","IS/Jpnese Semester","298","","False","False","A","3","","","O","19973","Research","1997"
"0000022206","1.0","0000000094","ASIAN","1","","","","Robert Entenmann","","S","200","999","IS/A Hmong Life","298","","False","False","B","3","","","O","19973","Research","1997"
"0000022207","1.0","0000000097","ASIAN","1","","","","Xun Pomponio","","S","300","999","IR/Asian St Sr Sem","398","","False","False","","3","","","O","19973","Research","1997"
