"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","pn","section","semester","status","term","type","year"
"0000016631","1.0","0000000653","FAMST","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Internship","294","True","","4","O","19944","Research","1994"
"0000016632","1.0","0000000657","FAMST","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Consumer Sci & Mgmt","398","False","","4","O","19944","Research","1994"
"0000016624","1.0","0000000504","GERM","2","0","2","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","Beginning German I","111","False","","4","O","19944","Research","1994"
"0000016625","1.0","0000000508","GERM","2","0","1","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Intermed German I","231","False","","4","O","19944","Research","1994"
"0000016626","1.0","0000001757","GERM","1","1","0","0","0","FOL-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","Conversation & Comp I","251","False","","4","O","19944","Research","1994"
"0000016627","1.0","0000000523","GERM","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","IS/German Novelle","298","False","","4","O","19944","Research","1994"
"0000016628","1.0","0000001857","HIST","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","America 1960's/Beyond","287","False","","4","O","19944","Research","1994"
"0000016633","1.0","0000000731","MATH","4","0","1","1","2","MAR","Staff","{'fsnum': '', 'name': 'Staff'}","100","Calculus I","120","False","","4","O","19944","Research","1994"
"0000016634","1.0","0000000733","MATH","3","2","0","0","1","MAR","Staff","{'fsnum': '', 'name': 'Staff'}","100","Calculus II","126","False","","4","O","19944","Research","1994"
"0000016635","1.0","0000000745","MATH","4","1","0","2","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Elem Real Analysis","244","False","","4","O","19944","Research","1994"
"0000016636","1.0","0000000747","MATH","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Abstract Algebra I","252","False","","4","O","19944","Research","1994"
"0000016637","1.0","0000000803","MUSIC","6","0","2","2","2","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","100","The Music Spectrum","130","False","","4","O","19944","Research","1994"
"0000016638","1.0","0000000821","MUSIC","2","0","1","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Counterpoint","222","False","","4","O","19944","Research","1994"
"0000016639","1.0","0000001974","MUSIC","2","0","1","0","1","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","200","The Art of Music","230","False","","4","O","19944","Research","1994"
"0000016642","0.25","0000000997","PEAC","4","1","1","1","1","PHA","Staff","{'fsnum': '', 'name': 'Staff'}","100","Golf","103","False","","4","O","19944","Research","1994"
"0000016643","0.25","0000001008","PEAC","1","0","0","0","1","PHA","Staff","{'fsnum': '', 'name': 'Staff'}","100","Scuba Diving","126","False","","4","O","19944","Research","1994"
"0000016644","0.25","0000002185","PEAC","3","0","2","0","1","PHA","Staff","{'fsnum': '', 'name': 'Staff'}","100","Individual Fitness","132","False","","4","C","19944","Research","1994"
"0000016645","1.0","0000001058","PETH","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","IS/Biomechanics","298","False","","4","O","19944","Research","1994"
"0000016640","1.0","0000002168","PHIL","11","0","6","3","2","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Top: Environmental Eth","247","False","","4","O","19944","Topic","1994"
"0000016641","1.0","0000000993","PHIL","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Epistemology/Rel","398","False","","4","O","19944","Research","1994"
