"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","semester","status","term","type","year"
"0000026958","1.0","0000000464","ENVST","3","0","1","0","2","","Staff","{'fsnum': '', 'name': 'Staff'}","200","3","Academic Internship","294","","True","4","O","19994","Research","1999"
"0000026959","1.0","0000000465","ENVST","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","1","IS/Env Sustainability","298","","False","4","O","19994","Research","1999"
"0000026964","1.0","0000000649","FAMST","5","0","2","1","2","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Family Relationships","242","{'day': 'Mo', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 4', 'start': '10:00'}","False","4","O","19994","Research","1999"
"0000026965","1.0","0000000651","FAMST","9","1","4","1","3","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Human Sexuality","253","{'day': 'Mo', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'M 4', 'start': '08:00'}","False","4","O","19994","Research","1999"
"0000026960","1.0","0000000504","GERM","1","0","0","1","0","","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","100","","Beginning German I","111","","False","4","O","19994","Research","1999"
"0000026961","1.0","0000000505","GERM","1","1","0","0","0","","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","100","","Beginning German II","112","","False","4","O","19994","Research","1999"
"0000026962","1.0","0000000508","GERM","2","0","1","1","0","","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","200","","Intermed German I","231","","False","4","O","19994","Research","1999"
"0000026963","1.0","0000001820","HIST","11","2","3","6","0","HWC;MCS-D","","","200","","U.S. Since 1865","206","{'day': 'Mo', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 421', 'start': '12:30'}","False","4","O","19994","Research","1999"
"0000026966","1.0","0000000733","MATH","4","1","1","0","2","MAR","Bolstad, Peder","{'fsnum': '661', 'name': 'Bolstad, Peder'}","100","","Calculus II","126","","False","4","O","19994","Research","1999"
"0000026967","1.0","0000000736","MATH","3","2","1","0","0","MAR","Alberts, Kenneth","{'fsnum': '10198', 'name': 'Alberts, Kenneth'}","200","","Elem Linear Algebra","220","","False","4","O","19994","Research","1999"
