"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000097810","1.0","0000027057","ID","This interdisciplinary, topics-based course explores contemporary issues in science with emphasis on developing students' understanding of scientific and quantitiative approaches to problem solving. Specific topics, ranging from environmental chemistry and public health to biomechanics and genetics, vary from year to year. Students attend nine hours of lectures or small group discussion sections, two to three hours of quantitative workshops, and four hours of laboratory per week. Does not count toward any major. The course is taught with WRI 109. Prerequisite: acceptance into the Summer Bridge Program. Offered annually during the summer.","39","0","0","0","39","IST;SED","Walter, Anne;Swift, Michael","{'fsnum': '8876', 'name': 'Walter, Anne'};{'fsnum': '8210', 'name': 'Swift, Michael'}","100","Explorations in Science","","150","","False","acceptance into the Summer Bridge Program. Offered annually during the summer.","","5","C","20135","","Research","2013"
"0000096781","1.0","0000000499","ID","This course provides an examination and application of the key content, skills, and perspectives of human geography. The lens of the geographer focuses on the spatial distribution of phenomena over the surface of the earth, asking the questions ""where?"" and ""why there?"". The practices and skills of geography are used to investigate a variety of issues in the Middle East, including environmental problems, the culture and management of sacred places, and the reasons for war and the need for peace. Counts toward environmental studies major (social science track).","14","0","5","6","3","HBS;MCG;MCS-G","McClure, Robert W.","{'fsnum': '16582', 'name': 'McClure, Robert W.'}","200","Human Geography","","234","{'day': 'Mo', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'}","False","False","","5","O","20135","Human Geography of the Middle East","Research","2013"
"0000097719","1.0","0000024281","ID","This course prepares McNair Scholars for the rigors of academic writing. Because the enrolled students represent a variety of disciplines, this course serves as a general introduction to writing in research; it is not meant to replace discipline-specific research methods or writing courses. Students read scholarly literature in their disciplines, write a literature review, draft various sections of a research paper, and prepare for a formal poster presentation. Offered every summer.","9","0","7","2","0","WRI","Campbell, Heather","{'fsnum': '903', 'name': 'Campbell, Heather'}","200","McNair Research Writing","","237","","False","False","","5","C","20135","McNair Research Writing Across the Disciplines","Research","2013"
"0000097557","1.0","0000000707","ID","","1","1","0","0","0","","Wojick, Paul","{'fsnum': '9114', 'name': 'Wojick, Paul'}","200","Academic Internship","","294","","True","","","5","O","20135","","Research","2013"
"0000097778","0.25","0000000707","ID","","5","0","3","2","0","","Williamson, Thomas A.","{'fsnum': '14223', 'name': 'Williamson, Thomas A.'}","200","Academic Internship","","294","","True","","A","5","O","20135","","Research","2013"
"0000097779","0.25","0000000707","ID","","5","0","1","4","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","Academic Internship","","294","","True","","B","5","O","20135","","Research","2013"
"0000097738","0.25","0000000795","MEDIA","","3","0","2","1","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","Academic Internship","","294","","True","","","5","O","20135","Internship","Research","2013"
"0000103478","0.5","0000000795","MEDIA","","1","0","1","0","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","Academic Internship","","294","","True","","A","5","O","20135","Internship","Research","2013"
"0000097762","0.5","0000000784","MGMT","","1","0","1","0","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","Academic Internship","","294","","True","","","5","O","20135","Internship","Research","2013"
"0000097774","0.25","0000000784","MGMT","","2","0","2","0","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","Academic Internship","","294","","True","","A","5","O","20135","Internship","Research","2013"
"0000097812","1.0","0000000784","MGMT","","1","0","1","0","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","Academic Internship","","294","","True","","B","5","O","20135","Internship","Research","2013"
"0000098103","1.0","0000000785","MGMT","","1","0","1","0","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","IS/Aspects of Corp Law","","298","","False","","","5","O","20135","Independent Study","Research","2013"
"0000097761","1.0","0000000788","MGMT","","1","0","1","0","0","","Hodgson, Ashley","{'fsnum': '22839', 'name': 'Hodgson, Ashley'}","300","Academic Internship","","394","","True","","","5","O","20135","Internship","Research","2013"
"0000097055","1.0","0000000805","MUSIC","Students gain an overview of the history and development of orchestral music by looking at style, instrumentation, and musical vocabulary in a substantial selection of landmark works. Students attend four professional orchestral concerts and/or rehearsals in Minneapolis/St. Paul. The ability to read musical scores is helpful but not required. Activity fee. Generally offered during Interim.","0","0","0","0","0","ALS-A;ORC","Carter, David","{'fsnum': '973', 'name': 'Carter, David'}","100","Orchestral Music","","132","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'}","False","False","","5","X","20135","","Research","2013"
"0000097290","1.0","0000027950","MUSIC","This course explores the history and evolution of rock music from rhythm and blues through the present. In addition to covering stylistic trends and significant artists, emphasis is placed on the analysis of rock styles and on the social contexts in which rock music has been and continues to be performed and received. No formal training in music is necessary. Offered during summer.","4","0","1","2","1","ALS-A","Castro, David R.","{'fsnum': '20190', 'name': 'Castro, David R.'}","100","Rock Music: Style/Context","","134","{'day': 'Mo', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'}","False","False","","5","O","20135","Rock Music: Style and Context","Research","2013"
"0000098095","0.25","0000000846","MUSIC","","1","0","0","1","0","","Mahr, Timothy","{'fsnum': '5013', 'name': 'Mahr, Timothy'}","200","Academic Internship","","294","","True","","","5","O","20135","Internship","Research","2013"
"0000097764","0.25","0000000961","NURS","Does not count toward the major. Students may choose a 1.00-, .50-, or .25-credit option.","1","0","0","0","1","","Neal, Diana","{'fsnum': '5499', 'name': 'Neal, Diana'}","300","Academic Internship","","394","","True","False","","5","O","20135","Internship","Research","2013"
"0000098749","0.25","0000000961","NURS","Does not count toward the major. Students may choose a 1.00-, .50-, or .25-credit option.","1","0","1","0","0","","Kuehn, Mary Beth","{'fsnum': '4577', 'name': 'Kuehn, Mary Beth'}","300","Academic Internship","","394","","True","False","A","5","O","20135","Internship","Research","2013"
"0000097833","1.0","0000000986","PHIL","","1","0","1","0","0","","Marino, Gordon D.","{'fsnum': '5051', 'name': 'Marino, Gordon D.'}","200","IS/Kierkegaard: Frag Post","","298","","False","","","5","O","20135","Independent Study","Research","2013"
