"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000020950","1.0","0000000413","ENGL","1","0","0","1","0","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Expository Writing","251","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","","4","O","19964","Research","1996"
"0000020951","1.0","0000000418","ENGL","6","2","1","0","3","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Creative Writing I","257","","False","","4","O","19964","Research","1996"
"0000020952","1.0","0000000434","ENGL","1","0","0","0","1","","Hill, Jonathan","{'fsnum': '3341', 'name': 'Hill, Jonathan'}","200","","IS/Classic Brit Novel","298","","False","","4","O","19964","Research","1996"
"0000020953","1.0","0000000442","ENGL","4","1","1","0","2","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Cr Writ II: Nonfiction","373","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","","4","O","19964","Research","1996"
"0000020954","1.0","0000001728","ENVST","6","1","4","1","0","NSL;NST","Bakko, Eugene;McKelvey, Steven","{'fsnum': '325', 'name': 'Bakko, Eugene'};{'fsnum': '5214', 'name': 'McKelvey, Steven'}","100","","Minn Natural History","150","","False","","4","O","19964","Research","1996"
"0000020955","1.0","0000000462","ENVST","7","0","0","3","4","HWC;ORC;WRI","Deason, Gary","{'fsnum': '1355', 'name': 'Deason, Gary'}","200","","Saving Wild Places","259","","False","","4","O","19964","Research","1996"
"0000020958","1.0","0000000649","FAMST","4","0","1","1","2","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Family Relationships","242","{'day': 'Mo', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 4', 'start': '10:00'}","False","","4","O","19964","Research","1996"
"0000020959","1.0","0000000651","FAMST","4","0","3","1","0","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Human Sexuality","253","{'day': 'Mo', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'M 26', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'M 26', 'start': '12:30'}","False","","4","O","19964","Research","1996"
"0000020956","1.0","0000000505","GERM","3","0","1","1","1","","Rippley, Lavern","{'fsnum': '6671', 'name': 'Rippley, Lavern'}","100","","Beginning German II","112","","False","","4","O","19964","Research","1996"
"0000020957","1.0","0000001820","HIST","6","4","1","0","1","HWC;MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","200","","U.S. Since 1865","206","{'day': 'Mo', 'end': '11:30', 'location': 'M 20', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 20', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 20', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 20', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 20', 'start': '10:00'}","False","","4","O","19964","Research","1996"
