"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000003711","1.0","0000000053","ART","28","3","8","7","10","ALS-A;HWC","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","30","6","8","9","7","Italian Renaissance","254","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 305', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 305', 'start': '09:30'}","False","","1","C","20021","Research","2002"
"0000003712","1.0","0000000057","ART","29","10","6","5","8","ALS-A;MCS-G","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","40","15","18","20","9","Art of China/Japan","259","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'}","False","","1","O","20021","Research","2002"
"0000003713","1.0","0000000061","ART","30","4","8","9","9","ALS-A;MCS-G","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","40","10","16","22","8","Art of India/SE Asia","265","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'}","False","","1","O","20021","Research","2002"
"0000003714","1.0","0000000067","ART","15","0","3","5","7","ALS-A","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","15","0","3","4","3","Women in Art","277","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 204', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 204', 'start': '14:15'}","False","","1","C","20021","Research","2002"
"0000003715","1.0","0000000069","ART","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","IS/Advanced Painting","298","","False","","1","O","20021","Research","2002"
"0000003716","1.0","0000000069","ART","1","0","0","0","1","","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","200","","","","","","IS/Advanced Ceramics","298","","False","A","1","O","20021","Research","2002"
"0000003717","1.0","0000000069","ART","1","0","1","0","0","","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","200","","","","","","IS/Vessel Studies","298","","False","B","1","O","20021","Research","2002"
"0000003718","1.0","0000000069","ART","1","0","0","0","1","","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","200","","","","","","IS/Exploring Ceramics","298","","False","C","1","O","20021","Research","2002"
"0000003719","1.0","0000000069","ART","1","0","1","0","0","","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","200","","","","","","IS/Independ Ceramic","298","","False","D","1","O","20021","Research","2002"
"0000003720","1.0","0000000070","ART","19","0","1","0","18","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","300","18","","","","","Topics Sem/Studio Art","340","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 204', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 204', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 204', 'start': '08:00'}","False","","1","C","20021","Topic","2002"
"0000003721","1.0","0000000075","ART","1","0","0","0","1","","Ryan, David E.","{'fsnum': '13038', 'name': 'Ryan, David E.'}","300","","","","","","IR/Intro to Video Art","398","","False","","1","O","20021","Research","2002"
"0000003722","1.0","0000000075","ART","1","0","1","0","0","","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","300","","","","","","IR/Independent Thesis","398","","False","A","1","O","20021","Research","2002"
"0000003723","1.0","0000000075","ART","1","0","0","0","1","","Dell, Irve","{'fsnum': '1369', 'name': 'Dell, Irve'}","300","","","","","","IR/Public Installatn","398","","False","B","1","O","20021","Research","2002"
"0000003724","1.0","0000000075","ART","1","0","0","0","1","","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","300","","","","","","IR/Corbusier: A Vision","398","","False","C","1","O","20021","Research","2002"
