"clbid","credits","crsid","department","description","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000009169","1.0","0000000075","ART","","0","","","Staff","","S","300","999","IR/","","398","","False","False","","3","","","O","20043","","Research","2004"
"0000009170","1.0","0000000077","ASIAN","","19","","","Robert Entenmann","","S","100","20","East Asia & the West","","112","{'day': 'Tu', 'end': '13:10', 'location': 'HH 514', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'HH 514', 'start': '12:45'}","False","False","","3","","","C","20043","","Research","2004"
"0000009171","1.0","0000000078","ASIAN","","35","","","Karil J. Kucera","","S","100","35","Asian Cultures","","121","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'}","False","False","","3","","","C","20043","","Research","2004"
"0000009172","1.0","0000000087","ASIAN","","27","","","Phyllis Hyland Larson","","S","200","25","Mod Japanese Lit-Tr","","235","{'day': 'Mo', 'end': '12:45', 'location': 'RML 515', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'RML 515', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'RML 515', 'start': '11:50'}","False","False","","3","","","C","20043","","Research","2004"
"0000009173","1.0","0000000093","ASIAN","","1","","","Phyllis Hyland Larson","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20043","","Research","2004"
"0000009174","1.0","0000000094","ASIAN","","2","","","Phyllis Hyland Larson","","S","200","999","IS/Film/Lit in Japan","","298","","False","False","","3","","","O","20043","","Research","2004"
"0000009175","1.0","0000000095","ASIAN","","14","","","Karil J. Kucera","","S","300","20","Buddhism: Text-Image","","310","{'day': 'Mo', 'end': '22:00', 'location': 'CAD 204', 'start': '19:00'}","False","False","","3","","","O","20043","","Research","2004"
"0000009176","1.0","0000000096","ASIAN","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","O","20043","","Research","2004"
"0000009177","1.0","0000000097","ASIAN","","2","","","Karil J. Kucera","","S","300","999","IR/Korean Literature","","398","","False","False","","3","","","O","20043","","Research","2004"
"0000009178","1.0","0000000097","ASIAN","","1","","","Phyllis Hyland Larson","","S","300","999","IR/Asian Studies Sem","","398","","False","False","A","3","","","O","20043","","Research","2004"
"0000009179","1.0","0000000100","BIO","","23","","","Diane K. Angell","","S","100","24","Biological Science","","121","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Tu', 'end': '10:00', 'location': 'SC 248', 'start': '08:00'}","False","False","A","3","","","C","20043","","Research","2004"
"0000009180","1.0","0000000100","BIO","","21","","","Diane K. Angell","","S","100","24","Biological Science","","121","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Tu', 'end': '15:20', 'location': 'SC 248', 'start': '13:20'}","False","False","B","3","","","C","20043","","Research","2004"
