"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000174028","0.25","0000000551","GREEK","","1","0","1","0","0","","Groton, Anne","{'fsnum': '2771', 'name': 'Groton, Anne'}","300","0","IR/Plagues in Ancient Greek Lit","","398","","False","","A","5","C","20255","Independent Research","Research","2025"
"0000173692","0.25","0000000624","HIST","","1","0","1","0","0","OEP","Earls, Averill","{'fsnum': '33976', 'name': 'Earls, Averill'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000174058","1.0","0000027057","ID","This interdisciplinary, topics-based course explores contemporary issues in science with emphasis on developing students' understanding of scientific and quantitative approaches to problem solving. Specific topics, ranging from environmental chemistry and public health to biomechanics and genetics, vary from year to year. Students attend nine hours of lectures or small group discussion sections, two to three hours of quantitative workshops, and four hours of laboratory per week. The course is taught with WRIT 109. Offered annually during the summer. Does not count toward any major. Prerequisite: acceptance into the Summer Bridge Program.","38","0","38","0","0","IST;NTS;SED","Gothmann, Anne M.;Hazlett, Eric L.","{'fsnum': '29141', 'name': 'Gothmann, Anne M.'};{'fsnum': '31195', 'name': 'Hazlett, Eric L.'}","100","40","Explorations in Science","For SSS Summer Bridge students only.","150","","False","acceptance into the Summer Bridge Program.","","5","C","20255","","Research","2025"
"0000172601","0.25","0000000707","ID","","13","1","6","6","0","OEP","Howe, Tim R.","{'fsnum': '15815', 'name': 'Howe, Tim R.'}","200","0","Academic Internship","","294","","True","","H","5","C","20255","","Research","2025"
"0000171685","0.25","0000029415","ID","This seminar integrates the liberal arts with the experience of work and the search for a vocation or career. Course content is composed of virtual class sessions that connect academic theories/analyses of work with each student's particular internship experience. Students also consider and articulate the value of the liberal arts for their pursuit of a creative, productive, and satisfying professional life. Offered annually during January Term. Prerequisite: Internship applications must be approved through the Piper Center before students will be allowed to enroll.","75","9","35","28","3","OEP","Baumann, Kelsey","{'fsnum': '34056', 'name': 'Baumann, Kelsey'}","200","50","Internship and Reflection Seminar","This course meets for 8 weeks and is online.  Sign up for this course using the ;form on Handshake.","295","{'day': 'We', 'end': '20:00', 'location': 'VRTL Online', 'start': '19:00'}","True","Internship applications must be approved through the Piper Center before students will be allowed to enroll.","","5","C","20255","","Research","2025"
"0000173057","0.25","0000001057","KINES","","1","0","0","1","0","OEP","Fountaine, Charles J.","{'fsnum': '9002454', 'name': 'Fountaine, Charles J.'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000171931","1.0","0000000712","LATIN","In this two-course sequence students learn the basics of classical Latin. By studying the language's vocabulary, grammar, and syntax, they not only gain appreciation for its intricacies and nuances but also learn more about their own language and about language in general. Completion of both LATIN 111 and LATIN 112 equips students to translate almost any classical Latin text with the aid of a dictionary. Offered annually in the spring semester. Prerequisite: LATIN 111 or equivalent.","0","0","0","0","0","","Groton, Anne","{'fsnum': '2771', 'name': 'Groton, Anne'}","100","15","Beginning Latin II","","112","{'day': 'Mo', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'}","False","LATIN 111 or equivalent.","","5","X","20255","","Research","2025"
"0000172199","1.0","0000027950","MUSIC","This course explores the history and evolution of rock music from rhythm and blues through the present. In addition to covering stylistic trends and significant artists, emphasis is placed on the analysis of rock styles and on the social contexts in which rock music has been and continues to be performed and received. No formal training in music is necessary. Offered periodically. Does not count toward B.A. music major or any B.M. music major.","2","0","0","0","2","ALS-A;CRE","Castro, David R.","{'fsnum': '20190', 'name': 'Castro, David R.'}","100","20","Rock Music: Style/Context","","134","","False","False","","5","O","20255","Rock Music: Style and Context","Research","2025"
"0000172198","1.0","0000028971","MUSIC","This course examines how race influences 20th century music. Students study a representative body of music from both popular and art music traditions, learn the basic elements of music and critical listening skills. Offered periodically during January term. Does not count toward B.A. music major or any B.M. music major.","2","1","1","0","0","ALS-A;CRE;ORC;PAR","Carter, David","{'fsnum': '973', 'name': 'Carter, David'}","100","20","Race in 20th Century Music","","135","","False","False","","5","O","20255","","Research","2025"
"0000172966","0.5","0000000847","MUSIC","","1","0","0","1","0","","Renken, Alice B.","{'fsnum': '9005753', 'name': 'Renken, Alice B.'}","200","0","IS/Literature & Pedagogy - Gamba","","298","","False","","A","5","C","20255","Independent Study","Research","2025"
"0000172968","0.5","0000000866","MUSIC","","1","0","0","0","1","","Merritt, Justin W.","{'fsnum': '16664', 'name': 'Merritt, Justin W.'}","300","0","IR/Composition: Wind Orchestration","","398","","False","","A","5","C","20255","Independent Research","Research","2025"
"0000174534","0.25","0000000917","NEURO","","1","0","0","1","0","OEP","Loebach, Jeremy","{'fsnum': '21097', 'name': 'Loebach, Jeremy'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000172636","0.25","0000000942","NURS","Does not count toward the Nursing major. Students may choose a 1.00, 0.50, or 0.25 credit option","5","0","5","0","0","OEP","Huehn, Susan","{'fsnum': '17526', 'name': 'Huehn, Susan'}","200","0","Academic Internship","","294","","True","False","A","5","C","20255","","Research","2025"
"0000171900","1.0","0000000977","PHIL","This course clarifies central concepts and distinctions developed in the literature of moral philosophy and applications of those concepts and distinctions to concrete moral problems that arise in the practice of medicine. Issues may include euthanasia, abortion, medical paternalism, allocation of scarce medical resources, culturally sensitive medical care, pandemics, and conflicts of loyalty in managed care. Readings are drawn from both philosophical and medical discussions. Offered annually.","12","2","8","2","0","EIN;ERC","Marsh, Jason","{'fsnum': '23586', 'name': 'Marsh, Jason'}","200","25","Biomedical Ethics","","250","","False","False","","5","O","20255","","Research","2025"
"0000173691","0.25","0000000985","PHIL","","1","0","1","0","0","OEP","Cunningham, Arthur","{'fsnum': '20236', 'name': 'Cunningham, Arthur'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000173056","0.25","0000043470","PHS","","3","0","3","0","0","OEP","Conger, Andrea C.","{'fsnum': '28107', 'name': 'Conger, Andrea C.'}","200","0","Academic Internship","","294","","False","","A","5","C","20255","","Research","2025"
"0000171633","1.0","0000001074","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry, and some calculus. The course is well-suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high-school level.;Physics 125 explores the character of electric and magnetic forces and fields, then takes up the extended description of matter (vibrations, waves - sound and light). Finally, both particle and wave descriptions are shown to be necessary for discussing quantum mechanics and its application to atomic physics. Students attend lectures and one 2.5-hour laboratory per week. Offered annually in the spring semester. Does not count toward physics major. Prerequisites: PHYS 124 and either MATH 119 or MATH 120 or equivalent.","15","2","7","4","2","NSC;NSL;SED","Kapuru Bandage, Suneth Kassapa","{'fsnum': '9003616', 'name': 'Kapuru Bandage, Suneth Kassapa'}","100","18","Principles Physics II","","125","","False","Prerequisites: PHYS 124 and either MATH 119 or MATH 120 or equivalent.","","5","O","20255","Principles of Physics II","Research","2025"
"0000171634","","0000001075","PHYS","","15","2","7","4","2","","Kapuru Bandage, Suneth Kassapa","{'fsnum': '9003616', 'name': 'Kapuru Bandage, Suneth Kassapa'}","100","18","Principles Physics II Lab","","125","","False","","","5","O","20255","","Lab","2025"
"0000171901","1.0","0000001168","PSYCH","This course helps students better understand human development from the moment of conception and across the life span. The course focuses on biological and environmental factors that shape human development. Major changes in physical, cognitive, personality and social development are discussed. Offered each semester. Prerequisite: PSYCH 125.","7","1","4","1","1","HBS;SCS","Kochendorfer, Logan B.","{'fsnum': '9005138', 'name': 'Kochendorfer, Logan B.'}","200","15","Developmental Psych","","241","","False","PSYCH 125.","","5","O","20255","Developmental Psychology","Research","2025"
"0000172902","1.0","0000001178","PSYCH","","1","0","1","0","0","OEP","Cho, Grace E.","{'fsnum': '20130', 'name': 'Cho, Grace E.'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000173016","1.0","0000001178","PSYCH","","2","0","0","2","0","OEP","Ausherbauer, Kadie","{'fsnum': '34068', 'name': 'Ausherbauer, Kadie'}","200","0","Academic Internship","","294","","True","","B","5","C","20255","","Research","2025"
"0000173354","0.25","0000001178","PSYCH","","0","0","0","0","0","OEP","Ausherbauer, Kadie","{'fsnum': '34068', 'name': 'Ausherbauer, Kadie'}","200","0","Academic Internship","","294","","True","","C","5","C","20255","","Research","2025"
"0000174096","0.25","0000001178","PSYCH","","1","1","0","0","0","OEP","Benson, Jessica M.","{'fsnum': '30091', 'name': 'Benson, Jessica M.'}","200","0","Academic Internship","","294","","True","","D","5","C","20255","","Research","2025"
"0000171932","1.0","0000001197","REL","Students examine traditional Christian doctrines in light of feminist critiques and reformulations. The course focuses especially upon language and images of God, the person of Christ and the work of redemption and understandings of human nature. Students evaluate arguments for and against the compatibility of Christianity and feminism. Offered periodically.","9","0","5","0","4","BTS-T;CTD","Zimmerman, Trish","{'fsnum': '10370', 'name': 'Zimmerman, Trish'}","200","24","Intro Feminist Theol","","209","","False","False","","5","O","20255","Introduction to Feminist Theology","Research","2025"
"0000171933","1.0","0000001232","REL","This course examines the ethical teachings of Jesus as found in the canonical Gospels (with special focus on the Sermon on the Mount), explores how these teachings have been understood at some major moments in Western history, and brings them to bear on the task of contemporary ethical reflection. Issues examined include, for example, non-violence, social and economic justice, sexuality, and ethnic conflict. Offered periodically.","1","0","1","0","0","EIN;ERC","Hanson, James","{'fsnum': '3061', 'name': 'Hanson, James'}","200","24","The Ethics of Jesus","This course is now asynchronous.","276","","False","False","","5","O","20255","","Research","2025"
"0000171902","1.0","0000001261","RUSSN","This course offers an introduction to grammar and reading through oral and written work. Offered annually in the spring semester. Prerequisite: RUSSN 111 or equivalent.","2","1","1","0","0","","Dossi, Giulia","{'fsnum': '9002450', 'name': 'Dossi, Giulia'}","100","12","Beginning Russian II","","112","{'day': 'Mo', 'end': '09:30', 'location': 'VRTL Online', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'VRTL Online', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'VRTL Online', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'VRTL Online', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'VRTL Online', 'start': '08:00'}","False","RUSSN 111 or equivalent.","","5","O","20255","","Research","2025"
"0000171903","1.0","0000001403","SDS","A first course in statistical methods, this course addresses study design and its implications as well as exploratory and inferential techniques for analyzing and modeling data. Topics include exploratory graphics, descriptive techniques, randomization tests, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, SDS 172, and ECON 260 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses.","0","0","0","0","0","AQR;MAR;QCR","Mandery, Kim","{'fsnum': '34040', 'name': 'Mandery, Kim'}","100","35","Statistics 1","","172","{'day': 'Mo', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'VRTL Online', 'start': '10:00'};{'day': 'Mo', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TBA', 'start': '12:30'}","False","False","","5","X","20255","","Research","2025"
"0000172195","1.0","0000001308","SOAN","This class investigates death-related behavior from an American and cross-cultural perspective, seeking to understand patterns of social interaction surrounding and giving meaning to dying, death, and bereavement. Topics include: death meanings and anxiety, religion and death-related customs, the dying process, hospice as a social movement, biomedical issues, the funeral industry, death rituals, and the social understanding of the bereavement process. Offered periodically during January term.","1","0","1","0","0","HBS;SCS","Sheppard, Ryan R.","{'fsnum': '18160', 'name': 'Sheppard, Ryan R.'}","200","20","Dying, Death, Bereavement","","248","","False","False","","5","O","20255","Sociology of Dying, Death, and Bereavement","Research","2025"
"0000172194","1.0","0000001310","SOAN","This course provides a social science understanding of the ""contemporary American family"" and analysis of marriage and family issues from a cross-cultural perspective. Students discuss issues of dating and mate selection, marital and parent-child relationships over the family life cycle, gender issues, work and family roles, and problem-related issues affecting families (divorce, violence and death) caused by rapid changes in society. Offered annually in the fall or spring semester.","4","1","1","1","1","HBS;MCD;MCS-D;PAR;SCS","Sheppard, Ryan R.","{'fsnum': '18160', 'name': 'Sheppard, Ryan R.'}","200","20","Families, Marriage, & Relationships","","260","","False","False","","5","O","20255","","Research","2025"
"0000173838","1.0","0000001394","THEAT","See internships in the academic catalog under Academic Regulations and Procedures - Registration and Course Enrollment - Internships. Prerequisite: at least three previous courses in department.","1","0","1","0","0","OEP","Pillatzki-Warzeha, Sara","{'fsnum': '32968', 'name': 'Pillatzki-Warzeha, Sara'}","200","0","Academic Internship","","294","","True","at least three previous courses in department.","A","5","C","20255","Academic Internships","Research","2025"
"0000174059","0.25","0000023391","WRIT","This course provides supplemental instruction in reading, writing, and critical thinking in conjunction with a designated course. Students practice reading course-specific texts, focusing writing topics, writing essay and short answer exams, developing research habits, identifying and using discipline-specific sources, and writing for general and specific audiences. Supplemental assignments complement writing in the designated course. P/N only. May be repeated once with a different designated course. Prerequisite: concurrent enrollment in a designated full-credit course.","38","0","0","0","38","","Draxler, Bridget A.","{'fsnum': '15269', 'name': 'Draxler, Bridget A.'}","100","40","Top: Supplemental Writing","For SSS Summer Bridge students only.","109","","True","concurrent enrollment in a designated full-credit course.","","5","C","20255","Topics: Supplemental Writing","Topic","2025"
"0000172903","1.0","0000020072","WRIT","Blending the reading seminar and writing workshop, this course offers advanced practice in critical reading and writing with emphasis on a particular discipline or topic. Students will read and respond critically to a range of writing that may include textbook chapters, popular feature stories, and creative literature. The course emphasizes how writers make and support claims, integrate research, and narrate to communicate effectively in a variety of genres for multiple audiences. Click on course title in the class and lab for more information about the course for that term. Prerequisite: successful completion of Writing and Rhetoric.","25","0","0","0","25","WAC","Forstner, Daniel R.","{'fsnum': '15723', 'name': 'Forstner, Daniel R.'}","200","20","Top: Science in World and Word","Only open to Upward Bound students.","211","","False","successful completion of Writing and Rhetoric.","","5","C","20255","Topics in Writing","Topic","2025"

