"clbid","credits","crsid","department","enrolled","firstyear","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000047444","1.0","0000000449","ENGL","1","0/0","","Jan C. Hill","0/0","S","300","0","Academic Internship","","394","","True","False","","5","1/0","0/0","O","20045","Research","2004"
"0000047446","1.0","0000001236","REL","1","0/0","","Douglas Schuurman","1/0","S","200","0","Academic Internship","","294","","True","False","C","5","0/0","0/0","O","20045","Research","2004"
"0000047458","1.0","0000000795","MEDIA","1","0/0","","Bill Sonnega","1/0","S","200","0","Academic Internship","","294","","True","False","C","5","0/0","0/0","C","20045","Research","2004"
"0000047467","1.0","0000000784","MGMT","4","0/0","","Sian E. Christie","3/0","S","200","0","Academic Internship","","294","","True","False","B","5","0/0","1/0","O","20045","Research","2004"
"0000047469","1.0","0000001236","REL","1","0/0","","Jamie A. Schillinger","0/0","S","200","0","Academic Internship","","294","","True","False","D","5","0/0","1/0","O","20045","Research","2004"
"0000047470","1.0","0000000236","CLASS","1","0/0","","James May","0/0","S","300","0","IR/Jerome's Vulgate","","398","","False","False","","5","1/0","0/0","C","20045","Research","2004"
"0000047471","1.0","0000001139","PSCI","2","0/0","","Sheryl D. Breen","1/0","S","200","0","Academic Internship","","294","","True","False","","5","0/0","1/0","O","20045","Research","2004"
"0000047472","1.0","0000000691","IS","1","0/0","","Karen Wilson","1/0","S","300","0","Academic Internship","","394","","True","False","","5","0/0","0/0","O","20045","Research","2004"
"0000047476","1.0","0000000784","MGMT","1","0/0","","Mary Ann Emery","1/0","S","200","0","Academic Internship","","294","","True","False","C","5","0/0","0/0","C","20045","Research","2004"
"0000047477","1.0","0000001139","PSCI","1","0/0","","D Christopher Brooks","0/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","1/0","O","20045","Research","2004"
"0000047478","1.0","0000000276","ECON","1","0/0","","Sian E. Christie","1/0","S","200","0","Academic Internship","","294","","True","False","C","5","0/0","0/0","O","20045","Research","2004"
"0000047493","1.0","0000000153","BIO","1","0/0","","Jason D. Hill","0/0","S","200","0","Academic Internship","","294","","True","False","C","5","1/0","0/0","O","20045","Research","2004"
"0000047494","1.0","0000000175","BIO","1","0/0","","Theodore Johnson","1/0","S","300","0","IR/Health Care in Peru","","398","","False","False","","5","0/0","0/0","C","20045","Research","2004"
