"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","semester","status","term","type","year"
"0000007528","1.0","0000000731","MATH","5","Staff","S","100","999","Calculus I","120","","False","False","4","O","20034","Research","2003"
"0000007529","1.0","0000000735","MATH","5","Staff","S","200","999","Principles of Math","210","{'day': 'Mo', 'end': '09:30', 'location': 'OM 001', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'OM 001', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'OM 001', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'OM 001', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'OM 001', 'start': '08:00'}","False","False","4","O","20034","Research","2003"
"0000007530","1.0","0000000747","MATH","4","Staff","S","200","999","Abstract Algebra I","252","","False","False","4","O","20034","Research","2003"
"0000007531","1.0","0000000764","MATH","5","Staff","S","300","999","Sem: Hist/Phil of Math","388","","False","False","4","O","20034","Seminar","2003"
"0000007532","1.0","0000000784","MGMT","1","Daniel B. Kramer","S","200","999","Academic Internship","294","","True","False","4","O","20034","Research","2003"
"0000007533","0.25","0000000997","PEAC","4","Staff","S","100","999","Golf","103","","False","False","4","O","20034","Research","2003"
"0000007534","0.25","0000000998","PEAC","3","Staff","S","100","999","Rock Climbing","106","{'day': 'Mo', 'end': '14:00', 'location': 'Tostrud Ctr', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'Tostrud Ctr', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'Tostrud Ctr', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'Tostrud Ctr', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'Tostrud Ctr', 'start': '12:30'}","False","False","4","O","20034","Research","2003"
"0000007535","0.25","0000001008","PEAC","5","Staff","S","100","8","Scuba Diving","126","","False","False","4","O","20034","Research","2003"
"0000007536","0.5","0000001012","PEAC","7","Staff","S","100","10","Individual Fitness.50","133","{'day': 'Mo', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'Tu', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'We', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'Th', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'Fr', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'}","False","False","4","O","20034","Research","2003"
"0000007537","0.5","0000001016","PEAC","7","Staff","S","100","10","Wt Training Co-Ed .50","140","{'day': 'Mo', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'Tu', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'We', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'Th', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'};{'day': 'Fr', 'end': '19:45', 'location': 'Tostrud Ctr', 'start': '18:45'}","False","False","4","O","20034","Research","2003"
"0000007538","1.0","0000001072","PHYS","13","Staff","S","100","999","Principles Physics I","124","{'day': 'Mo', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'};{'day': 'Th', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'}","False","False","4","O","20034","Research","2003"
"0000007539","1.0","0000001122","PSCI","8","Staff","S","200","999","Politics & Developmnt","252","{'day': 'Mo', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007540","1.0","0000001179","PSYCH","1","Shelly D. Dickinson","S","200","999","IS/Alcohol Adolescent","298","","False","False","4","O","20034","Research","2003"
"0000007541","1.0","0000001209","REL","12","Staff","S","200","999","God & Human Suffering","225","{'day': 'Mo', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007542","1.0","0000001234","REL","18","Staff","S","200","999","Buddhism,Peace,Justic","289","{'day': 'Mo', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'}","False","False","4","O","20034","Research","2003"
"0000007543","1.0","0000001239","REL","1","Jamie A. Schillinger","S","200","999","IS/Faith and Works","298","","False","False","4","O","20034","Research","2003"
"0000007544","1.0","0000001374","THEAT","6","Staff","S","100","999","Oral Interpretation","100","{'day': 'Mo', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007545","1.0","0000001402","STAT","8","Staff","S","100","999","Prin of Statistics","110","{'day': 'Mo', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'}","False","False","4","O","20034","Research","2003"

