"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000116242","0.25","0000000306","CSCI","Students gain experience in computer-industry positions. Recent projects have included contributions to team programming, documentation, business applications of computing, modifications of large proprietary code bases using industry-standard software frameworks, test-driven development, creating mobile-computing interfaces for existing software systems, and improving security of company websites. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","1","","Richard Allen","S","300","999","Academic Internship","","394","","True","False","A","5","C","20165","","Research","2016"
"0000116247","1.0","0000001067","ESTH","","1","","Cindy Book","S","300","999","Academic Internship","","394","","True","False","","5","C","20165","","Research","2016"
"0000116255","0.25","0000001315","SOAN","","1","","Ryan R. Sheppard","S","200","999","Academic Internship","","294","","True","False","A","5","O","20165","","Research","2016"
"0000116256","0.25","0000001178","PSYCH","","1","","Dana Gross","S","200","999","Academic Internship","","294","","True","False","B","5","O","20165","","Research","2016"
"0000116257","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","Emily Mohl","S","200","999","Academic Internship","","294","","True","False","A","5","C","20165","","Research","2016"
"0000116258","1.0","0000000276","ECON","","1","","Paul Wojick","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
"0000116259","0.25","0000000276","ECON","","1","","Vladimir Fleurimond","S","200","999","Academic Internship","","294","","True","False","A","5","C","20165","","Research","2016"
"0000116260","0.25","0000001139","PSCI","Internships are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs, and executive agencies.","1","","Chris B. Chapp","S","200","999","Academic Internship","","294","","True","False","","5","O","20165","","Research","2016"
"0000116261","0.25","0000000464","ENVST","","1","","Seth Binder","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
"0000116263","1.0","0000000434","ENGL","Students pursue an independent topic of study with a faculty director.","1","","Joseph L. Mbele","S","200","999","IS/Irish Folktales","","298","","False","False","","5","C","20165","Independent Study","Research","2016"
"0000116264","1.0","0000000277","ECON","","1","","Paul Wojick","S","200","999","IS/Oil and Gas Operations & Markets","","298","","False","False","","5","C","20165","Independent Study","Research","2016"
"0000116265","0.25","0000000707","ID","","2","","Katherine S. Tegtmeyer Pak","S","200","999","Academic Internship","","294","","True","False","D","5","O","20165","","Research","2016"
"0000116266","0.25","0000000707","ID","","5","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","E","5","O","20165","","Research","2016"
"0000116267","0.25","0000000707","ID","","6","","Thomas A. Williamson","S","200","999","Academic Internship","","294","","True","False","F","5","O","20165","","Research","2016"
"0000116268","0.25","0000000707","ID","","1","","Paul Zorn","S","200","999","Academic Internship","","294","","True","False","G","5","O","20165","","Research","2016"
"0000116269","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","Diane K. Angell","S","200","999","Academic Internship","","294","","True","False","B","5","C","20165","","Research","2016"
"0000116274","0.25","0000000942","NURS","Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option","1","","Mary Beth Kuehn","S","200","999","Academic Internship","","294","","True","False","","5","O","20165","","Research","2016"
"0000116302","0.25","0000000276","ECON","","1","","Paul Wojick","S","200","999","Academic Internship","","294","","True","False","B","5","C","20165","","Research","2016"
"0000116306","0.25","0000000784","MGMT","","2","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","A","5","O","20165","","Research","2016"
"0000116307","0.5","0000000433","ENGL","","1","","Carlos Gallego","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
