"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","pn","section","semester","status","term","type","year"
"0000015577","1.0","0000000452","ENGL","15","0","1","0","14","WRI","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","300","15","Sem: Poplr Lit/Am Cult","399","False","A","2","C","19942","Seminar","1994"
"0000015578","1.0","0000000452","ENGL","11","0","3","2","6","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","15","Sem: Renaissance Lit","399","False","B","2","O","19942","Seminar","1994"
"0000015579","1.0","0000000464","ENVST","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015603","1.0","0000001878","FAMST","21","0","4","7","10","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Adol Dev & Family Rel","248","False","","2","O","19942","Research","1994"
"0000015604","1.0","0000000652","FAMST","29","0","6","6","17","","Staff","{'fsnum': '', 'name': 'Staff'}","200","30","Aboriginal Cult/Austr","263","False","","2","C","19942","Research","1994"
"0000015605","1.0","0000000653","FAMST","2","0","1","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015581","1.0","0000000479","FREN","7","4","0","2","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","30","Intermed French I","231","False","","2","O","19942","Research","1994"
"0000015582","1.0","0000001737","FREN","10","8","0","2","0","FOL-F","Staff","{'fsnum': '', 'name': 'Staff'}","200","15","Lang & Culture Quebec","234","False","","2","C","19942","Research","1994"
"0000015583","1.0","0000000487","FREN","6","0","2","0","4","FOL-F","Staff","{'fsnum': '', 'name': 'Staff'}","300","20","Oral/Written Express","379","False","","2","O","19942","Research","1994"
"0000015584","1.0","0000000489","FREN","6","0","6","0","0","FOL-F","Staff","{'fsnum': '', 'name': 'Staff'}","300","15","Lang,Cult,Thtr/Paris","380","False","","2","C","19942","Research","1994"
"0000015589","1.0","0000000532","GCON","21","20","0","0","1","BTS-B;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","22","Romans & Christians","115","False","A","2","C","19942","Research","1994"
"0000015590","1.0","0000000532","GCON","20","20","0","0","0","BTS-B;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","22","Romans & Christians","115","False","B","2","C","19942","Research","1994"
"0000015591","1.0","0000000532","GCON","22","19","0","0","3","BTS-B;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","22","Romans & Christians","115","False","C","2","C","19942","Research","1994"
"0000015585","1.0","0000000506","GERM","11","4","2","2","3","ALS-L","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Folk/Fairy/Fables-Tr","147","False","","2","O","19942","Research","1994"
"0000015586","1.0","0000000510","GERM","8","2","1","3","2","FOL-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","15","Intensive Germ Abroad","233","False","","2","C","19942","Research","1994"
"0000015587","1.0","0000000515","GERM","4","3","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Conversation & Comp I","251","False","","2","O","19942","Research","1994"
"0000015588","1.0","0000000530","GERM","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/German Romantic Pt","398","False","","2","O","19942","Research","1994"
"0000015592","1.0","0000001770","HIST","25","25","0","0","0","HWC","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Myth/Hist Ancnt World","102","False","","2","C","19942","Research","1994"
"0000015593","1.0","0000001785","HIST","14","13","0","0","1","MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Myth/Real 20 C M-East","126","False","","2","C","19942","Research","1994"
"0000015594","1.0","0000001815","HIST","18","0","4","8","6","HWC","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Age of Renaissance","213","False","","2","O","19942","Research","1994"
"0000015595","1.0","0000001838","HIST","37","30","0","4","3","MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","200","38","Amer & World War II","251","False","","2","C","19942","Research","1994"
"0000015596","1.0","0000001840","HIST","31","7","2","19","3","HBS;MCS-D;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","33","Food Politcs Amer Soc","252","False","","2","C","19942","Research","1994"
"0000015597","1.0","0000001808","HIST","10","2","3","3","2","ALS-L","Staff","{'fsnum': '', 'name': 'Staff'}","200","33","France in WW II","253","False","","2","O","19942","Research","1994"
"0000015598","1.0","0000001844","HIST","22","3","4","8","7","ALS-L;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","British India","255","False","","2","O","19942","Research","1994"
"0000015599","1.0","0000001787","HIST","27","0","3","17","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Women & Work in Africa","256","False","","2","C","19942","Research","1994"
"0000015600","1.0","0000000608","HIST","9","1","1","5","2","MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","33","Late Imperial China","260","False","","2","O","19942","Research","1994"
"0000015601","1.0","0000000625","HIST","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Quant Study/French","298","False","","2","O","19942","Research","1994"
"0000015602","1.0","0000000642","HIST","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Minnesota Grange","398","False","A","2","O","19942","Research","1994"
"0000015606","1.0","0000001904","ID","6","0","5","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","22","Interface Bio & Stat","211","False","","2","O","19942","Research","1994"
"0000015607","1.0","0000000702","ID","38","2","8","21","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","38","East Orthodox Christ","250","False","","2","C","19942","Research","1994"
"0000015608","1.0","0000000704","ID","8","0","4","0","4","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Hospital Health Care","255","True","","2","C","19942","Research","1994"
"0000015609","1.0","0000000705","ID","27","1","4","12","10","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","200","25","Theater in London","258","False","","2","C","19942","Research","1994"
"0000015610","1.0","0000001922","ID","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Fles/ACM","259","False","","2","C","19942","Research","1994"
"0000015611","1.0","0000001923","ID","0","0","0","0","0","MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Dimens Multicult/ACM","260","False","","2","C","19942","Research","1994"
