"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","section","semester","status","term","type","year"
"0000007621","0.5","0000000026","ART","20","4","3","7","6","ALS-A","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","100","18","3","2","4","2","Found Ceramics: Wheel","","119","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 115E', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 115E', 'start': '12:45'}","False","","1","C","20041","Research","2004"
"0000007622","1.0","0000000027","ART","19","13","0","1","5","ALS-A","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","100","18","","","","","Honors Found Drawing","","120","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '11:00', 'location': 'CAD 216', 'start': '08:00'}","False","","1","C","20041","Research","2004"
"0000007623","1.0","0000000031","ART","49","11","10","17","11","ALS-A;MCS-G","Kucera, Karil J.;Thompson, Nancy M.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'};{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","100","50","14","8","14","5","Intro/Art History I","","150","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'}","False","","1","C","20041","Research","2004"
"0000007624","1.0","0000000033","ART","25","0","13","1","11","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","22","","","","","Oil/Acrylic Painting","","221","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'}","False","","1","C","20041","Research","2004"
"0000007625","1.0","0000000035","ART","14","0","9","1","4","","Dell, Irve","{'fsnum': '1369', 'name': 'Dell, Irve'}","200","15","","","","","Sculpt: Metal Casting","","223","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 105', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 105', 'start': '12:45'}","False","","1","C","20041","Research","2004"
"0000007626","1.0","0000000039","ART","14","0","4","4","6","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","200","16","","","","","Printmkg: Intaglio/Mono","","227","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'}","False","","1","C","20041","Research","2004"
"0000007627","1.0","0000000046","ART","15","0","5","3","7","","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","200","14","","","","","Intermed Photography","","238","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 102', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 102', 'start': '12:45'}","False","","1","C","20041","Research","2004"
"0000007628","1.0","0000000047","ART","11","0","4","0","7","ALS-A","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","200","15","","","","","Video Art Production","","239","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 101', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 101', 'start': '12:45'}","False","","1","O","20041","Research","2004"
"0000007629","1.0","0000000050","ART","31","0","8","13","10","ALS-A;HWC","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","200","30","","","","","Art 1776-1880","","251","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 305', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 305', 'start': '12:45'}","False","","1","C","20041","Research","2004"
"0000007630","1.0","0000000057","ART","31","0","8","15","8","ALS-A;MCS-G","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","29","","","","","Arts of China","","259","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'}","False","","1","C","20041","Research","2004"
"0000007631","1.0","0000000067","ART","17","2","6","2","7","ALS-A","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","18","","","","","Women in Art","","277","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 204', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 204', 'start': '14:15'}","False","","1","C","20041","Research","2004"
"0000007632","1.0","0000000068","ART","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Academic Internship","","294","","True","","1","O","20041","Research","2004"
"0000007633","1.0","0000000069","ART","1","0","1","0","0","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","IS/Adv Oil Painting","","298","","False","","1","O","20041","Research","2004"
"0000007634","1.0","0000000069","ART","1","0","0","1","0","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Handbuilt Dishware","","298","","False","A","1","O","20041","Research","2004"
"0000007635","1.0","0000000069","ART","2","0","1","0","1","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Adv Ceramics II","","298","","False","B","1","O","20041","Research","2004"
"0000007636","1.0","0000000069","ART","1","0","0","0","1","WRI","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","200","","","","","","IS/Photo as Theatre","","298","","False","C","1","O","20041","Research","2004"
"0000007637","1.0","0000000069","ART","1","0","0","0","1","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Ceramics in Series","","298","","False","D","1","O","20041","Research","2004"
"0000007638","1.0","0000000069","ART","1","0","0","0","1","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Fantasy Ceramics","","298","","False","E","1","O","20041","Research","2004"
"0000007639","1.0","0000000069","ART","1","0","1","0","0","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","IS/Adv Oil Painting","","298","","False","F","1","O","20041","Research","2004"
