"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","semester","status","term","type","year"
"0000010163","1.0","0000000697","ID","6","0","0","0","6","EIN;WRI","Santurri, Edmund","{'fsnum': '7020', 'name': 'Santurri, Edmund'}","200","","","","","","War and Peace","","238","{'day': 'Mo', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000010164","1.0","0000000731","MATH","0","0","0","0","0","MAR","Bolstad, Peder","{'fsnum': '661', 'name': 'Bolstad, Peder'}","100","","","","","","Calculus I","","120","{'day': 'Mo', 'end': '11:30', 'location': 'OM 001', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'OM 001', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'OM 001', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'OM 001', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'OM 001', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010165","1.0","0000000735","MATH","7","0","3","1","3","MAR","Bolstad, Peder","{'fsnum': '661', 'name': 'Bolstad, Peder'}","200","","","","","","Principles of Math","","210","{'day': 'Mo', 'end': '09:30', 'location': 'OM 003', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'OM 003', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'OM 003', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'OM 003', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'OM 003', 'start': '08:00'}","False","4","O","20044","Research","2004"
"0000010166","1.0","0000000921","NORW","1","0","0","0","1","","Dorer, Kari L.","{'fsnum': '14082', 'name': 'Dorer, Kari L.'}","100","","","","","","Beginning Norwegian I","","111","{'day': 'Mo', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010167","1.0","0000000922","NORW","0","0","0","0","0","","Dorer, Kari L.","{'fsnum': '14082', 'name': 'Dorer, Kari L.'}","100","","","","","","Begin Norwegian II","","112","{'day': 'Mo', 'end': '09:30', 'location': 'RML 577', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 577', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 577', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 577', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 577', 'start': '08:00'}","False","4","O","20044","Research","2004"
"0000010168","1.0","0000000926","NORW","7","1","1","0","5","FOL-N","Dorer, Kari L.","{'fsnum': '14082', 'name': 'Dorer, Kari L.'}","200","","","","","","Intermed Norwegian I","","231","{'day': 'Mo', 'end': '14:00', 'location': 'RML 577', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 577', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 577', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 577', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 577', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000047499","1.0","0000000956","NURS","11","0","0","0","11","","Glazebrook, Rita","{'fsnum': '2650', 'name': 'Glazebrook, Rita'}","300","0","0","0","0","0","Health Care-America","","372","","False","4","C","20044","Research","2004"
"0000010169","0.25","0000000997","PEAC","6","2","0","2","2","PHA","Finger, Le Ann K H.","{'fsnum': '13351', 'name': 'Finger, Le Ann K H.'}","100","","","","","","Golf","","103","","False","4","O","20044","Research","2004"
"0000010170","0.5","0000001012","PEAC","1","0","0","0","1","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","","","","","","Individual Fitness.50","","133","{'day': 'Mo', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'Tu', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'We', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'Th', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'Fr', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'}","False","4","O","20044","Research","2004"
"0000010171","0.5","0000001016","PEAC","4","0","1","0","3","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","","","","","","Wt Training Co-Ed .50","","140","{'day': 'Mo', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'Tu', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'We', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'Th', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'};{'day': 'Fr', 'end': '07:45', 'location': 'Tostrud Ctr', 'start': '06:45'}","False","4","O","20044","Research","2004"
"0000010172","1.0","0000001056","PETH","3","0","2","0","1","EIN","Wicks, Gary","{'fsnum': '9030', 'name': 'Wicks, Gary'}","200","","","","","","Sports Ethics/Society","","290","{'day': 'Mo', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'}","False","4","O","20044","Research","2004"
"0000010173","1.0","0000001072","PHYS","12","0","2","6","4","NSC;NSL","Feig, Matthew C.","{'fsnum': '12594', 'name': 'Feig, Matthew C.'}","100","","","","","","Principles Physics I","","124","{'day': 'Mo', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010174","","0000001073","PHYS","12","0","2","6","4","","Feig, Matthew C.","{'fsnum': '12594', 'name': 'Feig, Matthew C.'}","100","","","","","","Principles Physics I","","124","{'day': 'We', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'};{'day': 'Th', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'}","False","4","O","20044","Lab","2004"
"0000010175","1.0","0000001104","PSCI","3","0","0","1","2","HBS;MCS-G","Brooks, D Christopher","{'fsnum': '14170', 'name': 'Brooks, D Christopher'}","100","","","","","","Comparative Politics","","112","{'day': 'Mo', 'end': '14:00', 'location': 'RML 421', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 421', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 421', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 421', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 421', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000010176","1.0","0000001105","PSCI","3","0","1","2","0","HWC;MCS-D","Gorton, William A.","{'fsnum': '15068', 'name': 'Gorton, William A.'}","100","","","","","","Intro: Pol Theory","","113","{'day': 'Mo', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000010177","1.0","0000001106","PSCI","4","0","0","2","2","HBS","Gorton, William A.","{'fsnum': '15068', 'name': 'Gorton, William A.'}","100","","","","","","Current Contr/Us Pol","","114","{'day': 'Mo', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010178","1.0","0000001119","PSCI","0","0","0","0","0","EIN","Brooks, D Christopher","{'fsnum': '14170', 'name': 'Brooks, D Christopher'}","200","","","","","","Distributive Justice","","249","{'day': 'Mo', 'end': '11:30', 'location': 'RML 421', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 421', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 421', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 421', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 421', 'start': '10:00'}","False","4","X","20044","Research","2004"
"0000010179","1.0","0000001209","REL","18","1","8","5","4","BTS-T;WRI","Santurri, Edmund","{'fsnum': '7020', 'name': 'Santurri, Edmund'}","200","","","","","","God & Human Suffering","","225","{'day': 'Mo', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000047438","1.0","0000001236","REL","0","0","0","0","0","","Schuurman, Douglas","{'fsnum': '7248', 'name': 'Schuurman, Douglas'}","200","0","0","0","0","0","Academic Internship","","294","","True","4","O","20044","Research","2004"
"0000010180","1.0","0000001308","SOAN","6","1","1","1","3","HBS","Leming, Michael","{'fsnum': '4762', 'name': 'Leming, Michael'}","200","","","","","","Dying,Death,Bereave","","248","{'day': 'Mo', 'end': '09:30', 'location': 'HH 515', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'HH 515', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'HH 515', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'HH 515', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'HH 515', 'start': '08:00'}","False","4","O","20044","Research","2004"
"0000010181","1.0","0000001317","SOAN","0","0","0","0","0","","Leming, Michael","{'fsnum': '4762', 'name': 'Leming, Michael'}","300","","","","","","Found Soc Sci Resrch","Class periods to be arranged.  First class meets June 6 at 3:00 pm. in OM035.","371","{'day': 'Mo', 'end': '11:30', 'location': 'HH 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 515', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010182","1.0","0000001324","SPAN","0","0","0","0","0","","McClanahan, Joseph","{'fsnum': '15807', 'name': 'McClanahan, Joseph'}","100","","","","","","Beginning Spanish I","Class periods to be arranged.  First class meets June 6 at 3:00 pm. in OM035.","111","{'day': 'Mo', 'end': '11:30', 'location': 'OM 021', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'OM 021', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'OM 021', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'OM 021', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'OM 021', 'start': '10:00'}","False","4","X","20044","Research","2004"
"0000047729","1.0","0000001374","THEAT","0","0","0","0","0","ALS-A;ORC","Wilson, Karen","{'fsnum': '9093', 'name': 'Wilson, Karen'}","100","0","0","0","0","0","Oral Interpretation","","100","","False","4","C","20044","Research","2004"

