"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","pn","section","semester","status","term","type","year"
"0000018896","1.0","0000001188","PSYCH","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","1","Internship","394","True","","5","O","19955","Research","1995"
"0000018897","1.0","0000001195","REL","5","1","1","2","1","BTS-T;WRI","Santurri, Edmund","{'fsnum': '7020', 'name': 'Santurri, Edmund'}","200","","Chri Theol/Moral Life","207","False","","5","O","19955","Research","1995"
"0000018898","1.0","0000001196","REL","7","1","4","0","2","BTS-T;WRI","Santurri, Edmund","{'fsnum': '7020', 'name': 'Santurri, Edmund'}","200","","Chr Theol/Human Exist","208","False","","5","O","19955","Research","1995"
"0000018899","1.0","0000001289","SOAN","9","2","0","0","7","HBS;MCS-D","DeVries, Raymond","{'fsnum': '1367', 'name': 'DeVries, Raymond'}","100","","Intro to Sociology","121","False","","5","O","19955","Research","1995"
"0000018900","1.0","0000001325","SPAN","3","0","0","2","1","","Hasbrouck, Michael","{'fsnum': '3139', 'name': 'Hasbrouck, Michael'}","100","","Beginning Spanish II","112","False","","5","O","19955","Research","1995"
"0000018901","1.0","0000001342","SPAN","1","0","1","0","0","","Hasbrouck, Michael","{'fsnum': '3139', 'name': 'Hasbrouck, Michael'}","200","","IS/Cult & Civ of Spain","298","False","","5","O","19955","Research","1995"
"0000018902","1.0","0000001394","THEAT","2","0","1","1","0","","Edelmayer, Kathleen","{'fsnum': '1558', 'name': 'Edelmayer, Kathleen'}","200","","Internship","294","True","","5","O","19955","Research","1995"
"0000018903","1.0","0000001394","THEAT","1","0","0","0","1","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","Internship","294","True","A","5","O","19955","Research","1995"
"0000018904","1.0","0000001395","THEAT","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","1","IS/Corporate Culture","298","False","E","5","O","19955","Research","1995"
"0000018905","1.0","0000001400","THEAT","1","0","1","0","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","300","","Internship","394","True","","5","O","19955","Research","1995"

